TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Vehicle,2003,05,14,08,25,3X W PENDER ST,Central Business District,492310.16,5458674.52
Theft from Vehicle,2003,09,20,19,30,CARRALL ST / PACIFIC BLVD,Central Business District,492257.6,5458266.56
Offence Against a Person,2003,02,06,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,08,24,04,00,22XX W 8TH AVE,Kitsilano,488657.3,5456909.31
Theft from Vehicle,2003,09,20,22,40,CARRALL ST / PACIFIC BLVD,Central Business District,492257.6,5458266.56
Break and Enter Residential/Other,2003,03,25,14,00,35XX W 17TH AVE,Dunbar-Southlands,486695.59,5456075.25
Break and Enter Residential/Other,2003,09,15,23,30,22XX W 8TH AVE,Kitsilano,488657.3,5456909.31
Mischief,2003,06,14,09,00,43XX W 14TH AVE,West Point Grey,485129.75,5456389.27
Theft of Vehicle,2003,04,04,18,00,3X W 8TH AVE,Mount Pleasant,492319.78,5456780.34
Break and Enter Commercial,2003,12,18,20,30,17XX COMMERCIAL DR,Grandview-Woodland,494935.91,5457375.54
Break and Enter Commercial,2003,10,21,23,00,17XX COMOX ST,West End,489860.85,5459543.09
Offence Against a Person,2003,06,07,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,06,26,21,30,31XX W 28TH AVE,Dunbar-Southlands,487306.93,5454942.27
Break and Enter Residential/Other,2003,04,02,21,00,22XX W BROADWAY AVE,Kitsilano,488542.53,5456809.19
Break and Enter Residential/Other,2003,06,23,12,15,22XX W BROADWAY AVE,Kitsilano,488542.53,5456809.19
Theft from Vehicle,2003,04,07,08,30,10XX W BROADWAY AVE,Fairview,490778.89,5456741.47
Theft from Vehicle,2003,06,30,23,00,46XX W 8TH AVE,West Point Grey,484560.45,5457001.64
Break and Enter Residential/Other,2003,04,22,03,00,22XX W BROADWAY AVE,Kitsilano,488658.35,5456805.99
Break and Enter Residential/Other,2003,12,26,17,30,6XX CAMPBELL AVE,Strathcona,493830.2,5458470.46
Break and Enter Residential/Other,2003,06,25,12,30,78XX NANAIMO ST,Victoria-Fraserview,495668.89,5451151.86
Theft from Vehicle,2003,10,08,19,50,CARRALL ST / PACIFIC BLVD,Central Business District,492257.6,5458266.56
Theft from Vehicle,2003,12,23,06,30,34XX TERRA VITA PL,Hastings-Sunrise,497794.39,5458196.03
Theft from Vehicle,2003,07,05,23,30,31XX W 35TH AVE,Dunbar-Southlands,487222.88,5454204.61
Mischief,2003,01,24,23,30,80XX SHAUGHNESSY ST,Marpole,490619.34,5451093.06
Other Theft,2003,08,30,18,39,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Theft of Bicycle,2003,09,17,18,00,13XX W 13TH AVE,Fairview,490181.05,5456346.56
Mischief,2003,04,30,09,50,13XX BURRARD ST,Central Business District,490410.33,5458289.38
Theft of Vehicle,2003,01,27,17,30,3X N TEMPLETON DR,Grandview-Woodland,495653.16,5459153.44
Theft from Vehicle,2003,01,25,18,30,31XX W 35TH AVE,Dunbar-Southlands,487305.37,5454195.04
Theft from Vehicle,2003,02,13,18,15,7XX E CORDOVA ST,Strathcona,493547.8,5458822.51
Mischief,2003,02,27,14,00,13XX BURRARD ST,Central Business District,490410.33,5458289.38
Theft from Vehicle,2003,06,15,20,00,75XX GLADSTONE ST,Victoria-Fraserview,495483.93,5451555.28
Theft from Vehicle,2003,08,04,06,00,5X NELSON ST,Central Business District,491532.58,5458055.87
Break and Enter Residential/Other,2003,03,03,14,30,22XX WALL ST,Grandview-Woodland,495656.28,5459552.49
Break and Enter Residential/Other,2003,05,05,17,30,22XX WALL ST,Grandview-Woodland,495684.9,5459606.73
Mischief,2003,05,05,19,00,13XX BURNABY ST,West End,490099.94,5458828.13
Theft from Vehicle,2003,03,05,00,00,86XX OAK ST,Marpole,490516.16,5450608.17
Theft of Bicycle,2003,07,13,19,00,6XX E 29TH AVE,Riley Park,493376.71,5454643.49
Break and Enter Residential/Other,2003,01,07,12,00,22XX WENONAH ST,Kensington-Cedar Cottage,495602.93,5454652.09
Theft from Vehicle,2003,06,11,23,30,86XX OAK ST,Marpole,490515.76,5450593.69
Mischief,2003,04,05,17,00,43XX W 14TH AVE,West Point Grey,485207.49,5456387.31
Theft of Bicycle,2003,03,30,01,30,13XX W 13TH AVE,Fairview,490139.81,5456347.61
Theft of Vehicle,2003,07,21,09,45,3X E 30TH AVE,Riley Park,492375.66,5454510.11
Other Theft,2003,06,29,15,45,65XX FRASER ST,Sunset,493394.25,5452440.64
Mischief,2003,03,10,08,40,70XX ARGYLE ST,Victoria-Fraserview,494764.73,5451945.21
Mischief,2003,05,08,18,30,4XX ALEXANDER ST,Strathcona,493095.62,5459037.73
Other Theft,2003,08,21,22,00,65XX FRASER ST,Sunset,493394.25,5452440.64
Theft of Bicycle,2003,06,03,23,59,6XX E 13TH AVE,Mount Pleasant,493413.81,5456236.62
Theft from Vehicle,2003,01,13,18,00,7XX E CORDOVA ST,Strathcona,493547.8,5458822.51
Break and Enter Commercial,2003,10,26,04,41,17XX DAVIE ST,West End,489710.22,5459370.7
Mischief,2003,10,12,23,40,7XX HORNBY ST,Central Business District,491252.31,5458999.84
Theft from Vehicle,2003,12,01,09,00,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Break and Enter Commercial,2003,06,26,02,46,17XX DAVIE ST,West End,489727.14,5459353.88
Break and Enter Residential/Other,2003,08,18,12,00,22XX YORK AVE,Kitsilano,488588.07,5457669.29
Break and Enter Commercial,2003,08,13,01,00,17XX DAVIE ST,West End,489739.82,5459341.25
Mischief,2003,05,25,01,38,70XX ARLINGTON ST,Killarney,497812.78,5451914.85
Theft from Vehicle,2003,04,05,22,32,6X W CORDOVA ST,Central Business District,492305.11,5458887.21
Theft from Vehicle,2003,07,04,00,00,31XX W 3RD AVE,Kitsilano,487320.32,5457408.29
Mischief,2003,05,25,16,41,10XX GRANVILLE ST,Central Business District,491037.79,5458500.03
Theft from Vehicle,2003,08,10,17,00,31XX W 3RD AVE,Kitsilano,487351.39,5457407.47
Break and Enter Residential/Other,2003,07,31,19,00,22XX YORK AVE,Kitsilano,488597.84,5457678.19
Theft from Vehicle,2003,12,20,01,07,31XX W 42ND AVE,Kerrisdale,487213.49,5453453.3
Theft from Vehicle,2003,03,08,21,00,46XX WINDSOR ST,Kensington-Cedar Cottage,493888.14,5454495.31
Break and Enter Commercial,2003,05,19,16,33,17XX DAVIE ST,West End,489742.05,5459351.94
Theft from Vehicle,2003,04,23,22,00,46XX WINDSOR ST,Kensington-Cedar Cottage,493889.03,5454453.24
Theft from Vehicle,2003,08,31,00,00,E 12TH AVE / QUEBEC ST,Mount Pleasant,492499.43,5456390.27
Mischief,2003,06,18,03,00,70XX BALMORAL ST,Victoria-Fraserview,495019.66,5451947.94
Theft of Vehicle,2003,07,15,07,50,39XX WILLOW ST,South Cambie,491107.38,5455331.33
Mischief,2003,08,27,06,30,9XX PACIFIC ST,Central Business District,490375.05,5458253.22
Theft from Vehicle,2003,11,02,23,45,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Break and Enter Commercial,2003,10,24,03,35,17XX DAVIE ST,West End,489767.31,5459313.91
Theft from Vehicle,2003,04,22,00,30,58XX FLEMING ST,Victoria-Fraserview,494683.86,5453122.42
Theft from Vehicle,2003,07,23,23,00,34XX TURNER ST,Hastings-Sunrise,497764.45,5458476.08
Mischief,2003,07,20,21,00,13XX BROUGHTON ST,West End,489928.48,5458834.43
Mischief,2003,03,10,19,00,13XX BROUGHTON ST,West End,489928.48,5458834.43
Break and Enter Commercial,2003,07,13,11,19,17XX DAVIE ST,West End,489780.1,5459314.08
Mischief,2003,09,09,19,15,30XX KINGSWAY AVE,Renfrew-Collingwood,496923.28,5453680.06
Theft of Bicycle,2003,08,21,22,00,6XX DUNSMUIR ST,Central Business District,491602.48,5458919.55
Break and Enter Residential/Other,2003,10,23,14,04,23XX ADANAC ST,Grandview-Woodland,495872.38,5458298.49
Mischief,2003,04,11,22,00,13XX BROUGHTON ST,West End,489914.14,5458834.89
Theft of Vehicle,2003,02,03,12,00,39XX W 51ST AVE,Musqueam,485987.6,5452562.62
Break and Enter Commercial,2003,08,08,00,00,17XX DAVIE ST,West End,489782.22,5459311.97
Break and Enter Residential/Other,2003,07,09,14,00,8XX E 15TH AVE,Mount Pleasant,493666.79,5456032.61
Theft from Vehicle,2003,03,13,00,00,46XX YEW ST,Arbutus Ridge,488734.54,5454742.56
Offence Against a Person,2003,06,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Commercial,2003,01,15,21,00,17XX DAVIE ST,West End,489788.56,5459305.66
Theft from Vehicle,2003,01,07,11,00,10XX W PENDER ST,Central Business District,491366.3,5459367.04
Theft from Vehicle,2003,03,28,22,30,31XX W 42ND AVE,Kerrisdale,487269.25,5453453.0
Mischief,2003,08,13,01,15,9XX PACIFIC ST,Central Business District,490375.05,5458253.22
Break and Enter Residential/Other,2003,08,14,23,00,35XX W 18TH AVE,Dunbar-Southlands,486752.36,5455987.69
Theft from Vehicle,2003,07,30,20,30,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Break and Enter Commercial,2003,09,24,19,00,17XX E 10TH AVE,Kensington-Cedar Cottage,494998.72,5456512.03
Break and Enter Residential/Other,2003,04,24,21,40,23XX ASH ST,Fairview,491450.31,5456889.77
Theft from Vehicle,2003,02,01,00,00,31XX W 43RD AVE,Kerrisdale,487227.63,5453344.4
Theft from Vehicle,2003,07,11,12,00,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Break and Enter Residential/Other,2003,06,02,17,47,23XX ASH ST,Fairview,491450.44,5456898.32
Break and Enter Residential/Other,2003,06,04,15,00,23XX ASH ST,Fairview,491450.44,5456898.32
Theft from Vehicle,2003,04,06,23,45,31XX W 45TH AVE,Kerrisdale,487250.93,5453157.45
Theft from Vehicle,2003,12,13,22,17,5X NANAIMO ST,Grandview-Woodland,495884.38,5459066.14
Other Theft,2003,08,26,23,30,65XX FRASER ST,Sunset,493394.25,5452440.64
Theft of Vehicle,2003,04,21,08,55,39XX W 38TH AVE,Dunbar-Southlands,486090.07,5453882.78
Theft from Vehicle,2003,04,27,21,30,31XX W 45TH AVE,Kerrisdale,487281.53,5453157.13
Theft from Vehicle,2003,09,28,20,00,34XX TURNER ST,Hastings-Sunrise,497893.78,5458475.56
Theft from Vehicle,2003,09,26,19,00,47XX ARBUTUS ST,Arbutus Ridge,488837.89,5454530.26
Theft of Bicycle,2003,01,12,21,30,6XX DAVIE ST,Central Business District,490887.24,5458201.86
Break and Enter Residential/Other,2003,07,31,08,00,23XX BLENHEIM ST,Kitsilano,487069.58,5456962.33
Break and Enter Residential/Other,2003,09,24,14,02,23XX BONACCORD DR,Victoria-Fraserview,495673.24,5450869.01
Break and Enter Residential/Other,2003,09,21,12,00,35XX W 19TH AVE,Dunbar-Southlands,486562.14,5455887.62
Offence Against a Person,2003,09,23,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,02,07,18,00,34XX VANNESS AVE,Renfrew-Collingwood,497685.62,5453932.13
Theft from Vehicle,2003,09,19,02,32,34XX VANNESS AVE,Renfrew-Collingwood,497685.62,5453932.13
Theft from Vehicle,2003,06,01,02,00,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Theft from Vehicle,2003,05,07,22,45,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Theft from Vehicle,2003,11,15,09,00,47XX ARBUTUS ST,Arbutus Ridge,488837.89,5454530.26
Mischief,2003,10,12,03,35,5XX DUNSMUIR ST,Central Business District,491664.4,5458870.31
Mischief,2003,08,21,02,48,10XX GRANVILLE ST,Central Business District,491035.69,5458497.89
Other Theft,2003,09,06,11,00,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Theft from Vehicle,2003,04,19,19,00,79XX YUKON ST,Marpole,491655.29,5451154.56
Theft of Vehicle,2003,12,15,23,30,39XX W 22ND AVE,Dunbar-Southlands,486102.77,5455580.9
Theft from Vehicle,2003,03,25,21,00,RICHARDS ST / SMITHE ST,Central Business District,491309.97,5458483.97
Other Theft,2003,08,31,18,39,65XX FRASER ST,Sunset,493394.25,5452440.64
Mischief,2003,06,05,11,00,9XX PACIFIC BLVD,Central Business District,491780.91,5458013.78
Theft of Bicycle,2003,10,15,16,00,6XX DAVIE ST,Central Business District,490842.89,5458259.06
Break and Enter Residential/Other,2003,06,30,10,00,8XX E 14TH AVE,Mount Pleasant,493775.21,5456122.34
Theft from Vehicle,2003,12,30,22,00,HAMILTON ST / SMITHE ST,Central Business District,491454.41,5458341.85
Break and Enter Residential/Other,2003,05,09,09,30,23XX BURQUITLAM DR,Victoria-Fraserview,495769.73,5450770.11
Mischief,2003,05,25,13,00,9XX PACIFIC BL,Central Business District,491806.04,5458027.52
Offence Against a Person,2003,09,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,08,29,18,00,GORE AVE / UNION ST,Strathcona,492947.38,5458322.44
Break and Enter Commercial,2003,04,11,17,45,17XX E HASTINGS ST,Grandview-Woodland,494895.96,5458719.29
Mischief,2003,08,24,20,40,26XX CAMBRIDGE ST,Hastings-Sunrise,496358.36,5459327.44
Theft of Bicycle,2003,10,27,18,00,6XX CAMBIE ST,Central Business District,491883.38,5458633.44
Break and Enter Commercial,2003,06,12,17,30,17XX E HASTINGS ST,Grandview-Woodland,494938.22,5458719.02
Theft from Vehicle,2003,05,10,21,45,11XX MAINLAND ST,Central Business District,491144.35,5458003.1
Other Theft,2003,03,12,11,15,7XX BURRARD ST,Central Business District,491084.69,5458964.03
Break and Enter Commercial,2003,03,15,17,00,17XX E HASTINGS ST,Grandview-Woodland,494941.04,5458719.0
Other Theft,2003,10,15,20,18,65XX FRASER ST,Sunset,493394.25,5452440.64
Other Theft,2003,11,20,18,30,65XX FRASER ST,Sunset,493394.25,5452440.64
Other Theft,2003,12,03,10,50,65XX FRASER ST,Sunset,493394.25,5452440.64
Theft of Bicycle,2003,07,22,22,30,6XX CAMBIE ST,Central Business District,491821.56,5458582.68
Theft from Vehicle,2003,09,26,14,00,56XX DUNBAR ST,Dunbar-Southlands,486505.44,5453642.79
Offence Against a Person,2003,12,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,12,08,00,11XX MAINLAND ST,Central Business District,491144.35,5458003.1
Theft of Vehicle,2003,10,07,19,00,39XX W 19TH AVE,Dunbar-Southlands,486105.32,5455881.64
Other Theft,2003,08,24,17,15,6XX W 41ST AVE,Oakridge,491372.94,5453422.83
Break and Enter Residential/Other,2003,08,23,20,50,23XX CASSIAR ST,Hastings-Sunrise,497738.93,5456772.6
Theft from Vehicle,2003,06,10,23,00,10XX PACIFIC ST,West End,490298.13,5458316.57
Offence Against a Person,2003,11,19,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,01,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,06,10,22,30,10XX PACIFIC ST,West End,490298.13,5458316.57
Mischief,2003,01,20,20,00,32XX W 4TH AVE,Kitsilano,487098.64,5457323.51
Break and Enter Residential/Other,2003,01,29,08,00,60XX TISDALL ST,Oakridge,491138.64,5453076.55
Theft from Vehicle,2003,04,07,22,00,11XX MAINLAND ST,Central Business District,491144.35,5458003.1
Other Theft,2003,03,16,13,09,7XX BURRARD ST,Central Business District,491084.69,5458964.03
Mischief,2003,06,05,14,20,30XX KINGSWAY AVE,Renfrew-Collingwood,497006.71,5453677.21
Mischief,2003,06,15,02,45,26XX CAMBRIDGE ST,Hastings-Sunrise,496379.63,5459336.44
Break and Enter Commercial,2003,05,13,03,29,17XX E HASTINGS ST,Grandview-Woodland,495005.84,5458718.58
Break and Enter Commercial,2003,09,11,21,44,17XX E HASTINGS ST,Grandview-Woodland,495005.84,5458718.58
Mischief,2003,06,15,03,45,26XX CAMBRIDGE ST,Hastings-Sunrise,496379.63,5459336.44
Theft of Vehicle,2003,08,26,23,45,39XX W 18TH AVE,Dunbar-Southlands,486106.2,5455983.23
Mischief,2003,11,11,18,15,70XX FLEMING ST,Victoria-Fraserview,494652.38,5451909.45
Mischief,2003,07,06,01,30,26XX CAMBRIDGE ST,Hastings-Sunrise,496379.63,5459336.44
Theft from Vehicle,2003,12,17,01,00,5XX HOWE ST,Central Business District,491572.98,5459167.21
Mischief,2003,04,30,07,00,13XX BEACH AVE,West End,489860.32,5458766.66
Theft from Vehicle,2003,07,12,22,00,ABBOTT ST / W HASTINGS ST,Central Business District,492203.92,5458810.89
Break and Enter Commercial,2003,03,14,21,00,17XX E PENDER ST,Grandview-Woodland,494953.16,5458610.96
Other Theft,2003,09,06,14,47,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Other Theft,2003,09,06,15,27,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41
Break and Enter Residential/Other,2003,10,04,21,30,35XX W 20TH AVE,Dunbar-Southlands,486702.07,5455778.08
Theft of Vehicle,2003,08,18,21,00,39XX W 17TH AVE,Dunbar-Southlands,486107.03,5456087.9
Mischief,2003,04,26,10,00,9XX NOOTKA ST,Hastings-Sunrise,496996.98,5458180.68
Break and Enter Residential/Other,2003,07,02,06,00,56XX MELBOURNE ST,Renfrew-Collingwood,497874.0,5453286.7
Break and Enter Residential/Other,2003,01,22,18,00,23XX CHARLES ST,Grandview-Woodland,495813.14,5457792.15
Break and Enter Residential/Other,2003,03,28,18,00,23XX CHARLES ST,Grandview-Woodland,495813.14,5457792.15
Break and Enter Commercial,2003,01,05,04,40,17XX FIR ST,Fairview,489745.82,5457522.28
Theft from Vehicle,2003,04,28,20,00,5X N SALSBURY DR,Grandview-Woodland,495057.58,5459191.06
Break and Enter Residential/Other,2003,05,02,16,54,35XX W 20TH AVE,Dunbar-Southlands,486715.26,5455777.91
Theft from Vehicle,2003,07,23,17,20,ABBOTT ST / W HASTINGS ST,Central Business District,492203.92,5458810.89
Offence Against a Person,2003,11,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,12,16,17,00,60XX TISDALL ST,Oakridge,491138.64,5453076.55
Theft of Bicycle,2003,07,09,11,30,13XX VICTORIA DR,Grandview-Woodland,495224.63,5457711.37
Theft of Bicycle,2003,06,26,07,15,6XX BURRARD ST,Central Business District,491318.53,5459206.78
Theft of Bicycle,2003,09,23,00,00,13XX THURLOW ST,West End,490332.66,5458502.34
Mischief,2003,12,28,20,00,13XX BARCLAY ST,West End,490491.53,5459216.8
Theft from Vehicle,2003,11,07,23,30,10XX EXPO BLVD,Central Business District,491544.52,5458009.74
Theft from Vehicle,2003,07,27,11,00,ABBOTT ST / W HASTINGS ST,Central Business District,492203.92,5458810.89
Offence Against a Person,2003,03,20,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,09,19,21,00,ABBOTT ST / W HASTINGS ST,Central Business District,492203.92,5458810.89
Break and Enter Residential/Other,2003,02,07,10,45,23XX COLLINGWOOD ST,Kitsilano,486768.11,5457002.27
Offence Against a Person,2003,01,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,04,13,20,00,6XX RICHARDS ST,Central Business District,491614.75,5458783.84
Break and Enter Residential/Other,2003,01,09,14,30,23XX CORNWALL AVE,Kitsilano,488410.49,5457773.59
Offence Against a Person,2003,01,15,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft of Vehicle,2003,12,11,13,00,39XX SPRINGTREE DR,Arbutus Ridge,488803.1,5455367.19
Theft of Vehicle,2003,03,21,23,01,39XX SPRINGTREE DR,Arbutus Ridge,488803.1,5455367.19
Mischief,2003,11,19,08,30,13XX BARCLAY ST,West End,490461.89,5459258.43
Theft from Vehicle,2003,08,15,14,00,54XX FLEMING ST,Kensington-Cedar Cottage,494704.46,5453666.5
Theft of Bicycle,2003,08,14,18,00,13XX SHOREPINE WALK,Fairview,490270.51,5457234.71
Mischief,2003,09,16,18,00,10XX GRANVILLE ST,Central Business District,491033.85,5458482.93
Theft of Vehicle,2003,01,26,02,00,39XX SKEENA ST,Renfrew-Collingwood,497928.43,5455208.32
Break and Enter Residential/Other,2003,12,08,14,30,56XX OAK ST,South Cambie,490682.32,5453536.96
Theft of Vehicle,2003,05,05,18,00,39XX QUESNEL DR,Dunbar-Southlands,487337.53,5455474.93
Theft of Vehicle,2003,04,08,20,00,39XX QUESNEL DR,Dunbar-Southlands,487337.53,5455474.93
Theft of Vehicle,2003,02,16,17,45,39XX QUESNEL DR,Dunbar-Southlands,487337.53,5455474.93
Theft of Vehicle,2003,11,09,21,30,39XX PRINCE EDWARD ST,Riley Park,492966.32,5455269.41
Break and Enter Residential/Other,2003,05,12,10,00,23XX CORNWALL AVE,Kitsilano,488482.2,5457771.78
Offence Against a Person,2003,11,07,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,12,25,12,07,23XX CORNWALL AVE,Kitsilano,488497.79,5457771.39
Break and Enter Commercial,2003,05,12,04,00,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494917.5,5454960.04
Theft from Vehicle,2003,09,27,22,00,ABBOTT ST / W HASTINGS ST,Central Business District,492203.92,5458810.89
Break and Enter Commercial,2003,05,19,07,05,17XX KINGSWAY AVE,Kensington-Cedar Cottage,494919.58,5454958.55
Mischief,2003,12,16,02,25,30XX KINGSWAY AVE,Renfrew-Collingwood,497078.15,5453664.94
Break and Enter Residential/Other,2003,05,12,07,30,23XX CORNWALL AVE,Kitsilano,488513.38,5457770.99
Break and Enter Residential/Other,2003,05,12,11,00,23XX CORNWALL AVE,Kitsilano,488513.38,5457770.99
Mischief,2003,01,30,17,45,13XX BARCLAY ST,West End,490446.03,5459261.11
Other Theft,2003,03,17,20,45,7XX BURRARD ST,Central Business District,491084.69,5458964.03
Mischief,2003,03,16,19,00,13XX BARCLAY ST,West End,490444.83,5459275.04
Theft from Vehicle,2003,03,27,16,00,6XX HOMER ST,Central Business District,491743.99,5458771.29
Theft from Vehicle,2003,07,09,23,30,31XX W 4TH AVE,Kitsilano,487348.09,5457308.67
Mischief,2003,08,25,02,45,70XX HEATHER ST,Oakridge,490982.86,5452027.38
Mischief,2003,10,16,01,31,30XX KINGSWAY AVE,Renfrew-Collingwood,497080.84,5453655.13
Break and Enter Residential/Other,2003,08,08,16,00,23XX DUNDAS ST,Grandview-Woodland,495839.99,5459121.02
Theft of Vehicle,2003,10,28,17,00,39XX PINE CRES,Shaughnessy,489291.04,5455386.42
Break and Enter Residential/Other,2003,01,20,02,45,6XX CARDERO ST,Central Business District,490503.11,5459772.71
Mischief,2003,06,30,19,00,80XX YUKON ST,Marpole,491652.56,5451051.54
Theft from Vehicle,2003,04,11,21,30,10XX HOWE ST,Central Business District,490912.26,5458506.02
Theft of Vehicle,2003,02,16,01,00,39XX PERRY ST,Kensington-Cedar Cottage,494830.56,5455277.04
Other Theft,2003,12,10,14,28,65XX FRASER ST,Sunset,493394.25,5452440.64
Theft from Vehicle,2003,06,05,15,30,ABBOTT ST / W PENDER ST,Central Business District,492175.44,5458706.85
Mischief,2003,03,05,15,25,10XX GRANVILLE ST,Central Business District,491031.75,5458480.78
Theft from Vehicle,2003,09,26,22,30,56XX DUNBAR ST,Dunbar-Southlands,486505.44,5453642.79
Theft of Vehicle,2003,04,13,22,00,39XX PARKWAY DR,Arbutus Ridge,488756.68,5455408.15
Break and Enter Commercial,2003,01,15,17,30,17XX KINGSWAY AVE,Kensington-Cedar Cottage,495014.15,5454890.59
Theft from Vehicle,2003,07,19,22,30,ABBOTT ST / W PENDER ST,Central Business District,492175.44,5458706.85
Theft from Vehicle,2003,09,01,19,10,ABBOTT ST / W PENDER ST,Central Business District,492175.44,5458706.85
Offence Against a Person,2003,10,25,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,10,02,15,00,ABBOTT ST / W PENDER ST,Central Business District,492175.44,5458706.85
Theft from Vehicle,2003,02,08,16,30,6XX E 10TH AVE,Mount Pleasant,493381.65,5456525.78
Offence Against a Person,2003,02,10,,,OFFSET TO PROTECT PRIVACY,,0,0
Offence Against a Person,2003,05,12,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,06,10,02,30,9XX NICOLA ST,West End,490245.93,5459326.44
Theft from Vehicle,2003,04,04,22,30,11XX MAINLAND ST,Central Business District,491144.35,5458003.1
Mischief,2003,06,10,02,20,9XX NICOLA ST,West End,490245.93,5459326.44
Theft from Vehicle,2003,03,30,21,00,10XX HOWE ST,Central Business District,490912.26,5458506.02
Break and Enter Commercial,2003,10,21,07,30,17XX KINGSWAY AVE,Kensington-Cedar Cottage,495048.04,5454853.92
Theft from Vehicle,2003,08,16,12,00,GORE AVE / UNION ST,Strathcona,492947.38,5458322.44
Offence Against a Person,2003,06,29,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,02,03,17,30,6XX HOMER ST,Central Business District,491743.99,5458771.29
Theft from Vehicle,2003,04,10,14,45,6XX RICHARDS ST,Central Business District,491672.82,5458842.68
Theft of Vehicle,2003,03,06,18,30,39XX MARGUERITE ST,Shaughnessy,489504.72,5455347.32
Break and Enter Commercial,2003,09,29,04,15,17XX MAIN ST,Mount Pleasant,492666.5,5457462.86
Break and Enter Commercial,2003,11,12,19,00,17XX MAIN ST,Mount Pleasant,492666.5,5457462.86
Break and Enter Residential/Other,2003,10,04,13,30,23XX E 1ST AVE,Grandview-Woodland,495813.72,5457427.86
Break and Enter Residential/Other,2003,10,29,20,00,56XX ONTARIO ST,Riley Park,492309.91,5453436.84
Offence Against a Person,2003,01,04,,,OFFSET TO PROTECT PRIVACY,,0,0
Break and Enter Residential/Other,2003,06,19,07,00,23XX E 27TH AVE,Kensington-Cedar Cottage,495783.73,5454878.72
Theft from Vehicle,2003,11,05,21,00,10XX HOWE ST,Central Business District,490975.87,5458571.03
Break and Enter Residential/Other,2003,12,17,09,30,23XX E 27TH AVE,Kensington-Cedar Cottage,495821.42,5454878.32
Other Theft,2003,12,27,23,21,65XX FRASER ST,Sunset,493394.25,5452440.64
Mischief,2003,07,21,17,41,13XX ARBUTUS ST,Kitsilano,488900.47,5457971.35
Break and Enter Residential/Other,2003,07,08,13,00,56XX ORMIDALE ST,Renfrew-Collingwood,498186.89,5453287.92
Mischief,2003,08,05,17,00,87XX STANLEY PARK DR,Stanley Park,489216.78,5460227.23
Offence Against a Person,2003,09,27,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,06,08,16,15,13XX ARBUTUS ST,Kitsilano,488900.47,5457971.35
Theft from Vehicle,2003,01,31,01,00,34XX VANNESS AVE,Renfrew-Collingwood,497784.41,5453861.16
Theft of Bicycle,2003,11,25,17,30,6X W CORDOVA ST,Central Business District,492301.02,5458898.01
Break and Enter Residential/Other,2003,02,24,11,00,23XX E 28TH AVE,Kensington-Cedar Cottage,495822.51,5454777.06
Break and Enter Residential/Other,2003,03,03,11,00,23XX E 28TH AVE,Kensington-Cedar Cottage,495822.51,5454777.06
Break and Enter Residential/Other,2003,03,03,15,00,23XX E 28TH AVE,Kensington-Cedar Cottage,495822.51,5454777.06
Theft of Bicycle,2003,11,24,07,00,6X W CORDOVA ST,Central Business District,492301.02,5458898.01
Theft of Bicycle,2003,02,11,09,00,13XX RICHARDS ST,Central Business District,490844.72,5458006.46
Offence Against a Person,2003,03,01,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,06,06,15,00,48XX CAMBIE ST,Riley Park,491398.11,5454383.43
Break and Enter Commercial,2003,08,10,04,40,17XX NANAIMO ST,Hastings-Sunrise,495885.29,5457320.38
